epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1984.98,1.26997,1.94945,1.39513,1.28836,0.28511,0.6,0.34975,0.1507,0.28511,0.6,0.34975,0.20407,1.73654,2.66079,3.99013,2.10992,0.0014258,0.0014258,0.0014258
31,2048.09,1.31692,1.98781,1.48105,1.34002,0.62526,0.4,0.30702,0.10352,0.42827,0.6,0.38479,0.18067,1.98936,2.52647,3.49265,2.68477,0.001406,0.001406,0.001406
32,2110.73,1.26172,1.96535,1.41346,1.29349,0.30367,0.4,0.19578,0.09448,0.30367,0.4,0.17573,0.09273,1.90904,3.07252,5.47934,2.02456,0.0013862,0.0013862,0.0013862
33,2181.46,1.33562,1.92055,1.43928,1.32897,0.40598,0.6,0.35372,0.13484,0.40598,0.6,0.3388,0.11931,1.94999,3.12689,5.81211,2.05104,0.0013664,0.0013664,0.0013664
34,2251.34,1.3069,2.01462,1.413,1.32988,0.34249,0.6,0.37397,0.09597,0.44309,0.4,0.26632,0.08725,1.90616,4.71947,6.58921,1.95884,0.0013466,0.0013466,0.0013466
35,2317.1,1.34124,1.90188,1.44279,1.31367,0.25915,0.4,0.20976,0.06449,0.25915,0.4,0.19997,0.05568,1.86634,5.3327,6.49329,2.12922,0.0013268,0.0013268,0.0013268
36,2383.03,1.27124,1.93727,1.37087,1.30714,0.25722,0.8,0.24399,0.11985,0.32178,1,0.35576,0.13572,1.71191,3.60943,4.26338,1.87353,0.001307,0.001307,0.001307
37,2450.42,1.11683,1.82775,1.26512,1.21725,0.46643,0.8,0.44295,0.25603,0.46643,0.8,0.44295,0.24802,1.62387,2.78232,3.37518,1.81224,0.0012872,0.0012872,0.0012872
38,2516.08,1.16547,1.97799,1.26531,1.20645,0.54379,0.8,0.56727,0.28499,0.54379,0.8,0.56727,0.30757,1.7948,3.1163,3.00654,1.99908,0.0012674,0.0012674,0.0012674
39,2585.34,1.14177,1.90947,1.21313,1.22913,0.52288,0.8,0.56286,0.23726,0.52288,0.8,0.56286,0.29578,2.05699,3.36972,2.54787,2.17406,0.0012476,0.0012476,0.0012476
